time_utc,t_ms,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync
2026-07-20T22:45:59.276+00:00,3765269,41.6,28.45,0.0,10,15.0,-35.5
2026-07-20T22:45:59.583+00:00,3765576,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:45:59.890+00:00,3765883,41.6,28.45,0.0,10,15.0,-35.5
2026-07-20T22:46:00.197+00:00,3766190,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:00.504+00:00,3766497,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:00.811+00:00,3766804,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:01.118+00:00,3767111,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:01.426+00:00,3767418,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:01.733+00:00,3767725,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:02.039+00:00,3768032,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:02.346+00:00,3768339,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:02.653+00:00,3768646,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:02.960+00:00,3768953,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:03.267+00:00,3769260,41.6,28.45,0.0,10,15.0,-35.5
2026-07-20T22:46:03.575+00:00,3769567,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:03.882+00:00,3769874,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:04.188+00:00,3770181,41.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:04.496+00:00,3770488,42.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:04.803+00:00,3770795,42.6,28.44,0.0,10,15.0,-35.5
2026-07-20T22:46:05.110+00:00,3771102,42.6,28.45,0.0,10,15.0,-35.5
2026-07-20T22:46:05.417+00:00,3771409,42.6,28.45,0.0,10,15.0,-35.5
