pass_num,gain_set,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync,kept
1,13,6394,1.5099,35.6,26.32,-40.5,13,0.0,-35.5,1
1,13,7120,-0.3831,35.6,26.31,-40.5,13,0.0,-35.5,1
1,13,7846,2.0057,35.6,26.32,-40.5,13,0.0,-35.5,1
1,13,8572,1.8480,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,9298,1.0817,35.6,26.32,-40.5,13,0.0,-35.5,1
1,13,10024,0.6085,36.6,26.31,-40.5,13,0.0,-35.5,1
1,13,10750,0.6085,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,11476,1.8930,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,12202,1.4648,35.6,26.32,-40.5,13,0.0,-35.5,1
1,13,12928,1.0592,35.6,26.32,-40.5,13,0.0,-35.5,1
1,13,13654,1.8254,35.6,26.32,-40.5,13,0.0,-35.5,1
1,13,14380,1.7578,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,15106,1.7578,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,15832,1.9381,35.6,26.32,-40.5,13,0.0,-35.5,1
1,13,16558,0.6085,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,17284,1.3522,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,18010,1.0367,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,18736,1.0367,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,19462,0.7662,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,20188,0.0901,37.6,26.33,-40.5,13,0.0,-35.5,1
1,13,20914,2.1409,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,21640,1.0592,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,22366,0.1578,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,23092,2.1635,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,23818,0.0225,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,24544,0.7212,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,25270,0.9465,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,25996,1.3296,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,26722,1.3296,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,27448,1.3747,35.6,26.33,-40.5,13,0.0,-35.5,1
1,13,28174,2.1184,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,28900,1.4423,36.6,26.33,-41.0,13,0.0,-35.5,1
1,13,29626,2.0733,36.6,26.32,-40.5,13,0.0,-35.5,1
1,13,30352,1.8480,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,31078,2.0282,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,31804,1.7353,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,32530,2.0057,35.6,26.33,-40.5,13,0.0,-35.5,1
1,13,33256,1.2395,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,33982,0.3155,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,34708,1.6451,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,35434,1.8930,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,36160,1.1944,37.6,26.33,-40.5,13,0.0,-35.5,1
1,13,36886,2.0733,36.6,26.34,-40.5,13,0.0,-35.5,1
1,13,37612,2.2311,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,38338,1.3071,37.6,26.33,-40.5,13,0.0,-35.5,1
1,13,39064,1.1719,37.6,26.33,-40.5,13,0.0,-35.5,1
1,13,39790,1.1268,37.6,26.33,-40.5,13,0.0,-35.5,1
1,13,40516,0.7212,37.6,26.34,-40.5,13,0.0,-35.5,1
1,13,41242,0.6085,36.6,26.34,-40.5,13,0.0,-35.5,1
1,13,41968,2.2536,36.6,26.34,-40.5,13,0.0,-35.5,1
1,13,42694,1.3972,37.6,26.33,-40.5,13,0.0,-35.5,1
1,13,43420,1.9381,37.6,26.33,-40.5,13,0.0,-35.5,1
1,13,44146,1.2620,36.6,26.34,-40.5,13,0.0,-35.5,1
1,13,44872,0.2028,36.6,26.33,-40.5,13,0.0,-35.5,1
1,13,45598,0.9240,36.6,26.34,-40.5,13,0.0,-35.5,1
1,13,46324,1.1719,36.6,26.34,-40.5,13,0.0,-35.5,1
