--- Terminal on /dev/ttyACM1 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
6017,0.0000,29.3,26.57
6738,0.0000,29.3,26.56
7459,0.0000,30.3,26.57
8180,0.0000,29.3,26.57
8901,0.0000,30.3,26.57
9622,0.0000,29.3,26.57
10343,0.0000,29.3,26.57
11064,0.0000,30.3,26.58
11785,0.0000,30.3,26.57
12506,0.0000,30.3,26.58
12948,-7.3693,30.3,26.58
13669,-6.1749,30.3,26.58
14390,-6.4678,30.3,26.58
15111,-6.5805,30.3,26.58
15832,-7.0989,30.3,26.58
16553,-6.9862,30.3,26.58
17274,-6.6256,30.3,26.58
17995,-6.2425,30.3,26.59
18716,-7.7975,30.3,26.59
19437,-6.3552,30.3,26.60
20158,-7.1665,30.3,26.60
20879,-7.8876,30.3,26.60
21600,-5.9946,30.3,26.60
22321,-6.3326,30.3,26.61
23042,-7.0312,30.3,26.60
23763,-7.0312,30.3,26.60
24484,-7.0312,30.3,26.60
25205,-7.0312,30.3,26.61
25926,-7.0312,30.3,26.61
26647,-7.0312,30.3,26.61
27368,-7.0312,30.3,26.61
28089,-7.0312,31.3,26.61
28810,-7.0312,31.3,26.62
29531,-7.0312,31.3,26.62
30252,-7.0312,31.3,26.61
30973,-7.0312,31.3,26.62
31694,-7.0312,31.3,26.62
32415,-7.0312,31.3,26.62
33136,-7.0312,31.3,26.63
33857,-7.0312,30.3,26.63
34578,-7.0312,31.3,26.63
35299,-7.0312,31.3,26.63
36020,-7.0312,31.3,26.63
36741,-7.0312,31.3,26.63
37462,-7.0312,31.3,26.63
38183,-7.0312,31.3,26.63
38904,-7.0312,32.3,26.64
39625,-5.9495,31.3,26.64
40346,-6.1974,31.3,26.63
41067,-5.7016,31.3,26.64
41788,-5.6115,32.3,26.64
42509,-5.4988,31.3,26.64
43230,-6.1749,32.3,26.64
43951,-6.6932,31.3,26.64
44672,-6.1974,31.3,26.64
45393,-6.2650,31.3,26.65
46114,-5.5664,32.3,26.65
46835,-6.8284,31.3,26.65
47556,-6.6932,31.3,26.65
48277,-5.9721,31.3,26.65
48998,-6.2876,31.3,26.65
49719,-5.8368,31.3,26.65
50440,-5.8368,32.3,26.65
51161,-5.8368,31.3,26.66
51882,-5.8368,31.3,26.66
52603,-5.8368,32.3,26.66
53324,-5.8368,32.3,26.66
54045,-5.8368,31.3,26.66
54766,-5.8368,32.3,26.66
55487,-5.8368,32.3,26.66
56208,-5.8368,32.3,26.66
56929,-5.8368,32.3,26.66
57650,-5.8368,32.3,26.67
58371,-5.8368,32.3,26.66
59092,-5.8368,31.3,26.67
59813,-5.8368,32.3,26.67
60534,-5.8368,32.3,26.67
61255,-5.8368,32.3,26.67
61976,-5.8368,32.3,26.67
62697,-5.8368,32.3,26.67
63418,-5.8368,32.3,26.67
64139,-5.8368,32.3,26.68
64860,-5.8368,32.3,26.67
65581,-5.8368,32.3,26.68
66302,-6.5355,32.3,26.68
67023,-6.7608,32.3,26.68
67744,-6.3552,32.3,26.68
68465,-6.4002,32.3,26.68
69186,-6.8960,32.3,26.68
69907,-6.9186,32.3,26.69
70628,-6.2200,32.3,26.68
71349,-6.5129,33.3,26.69
72070,-6.6031,33.3,26.69
72791,-7.0538,33.3,26.69
73512,-6.6256,32.3,26.69
74233,-6.5129,32.3,26.69
74954,-7.1890,33.3,26.69
# [n=100] mean=-5.6327 m  sigma=2.2412 m  die=33.3 C  CalVal=-35
75675,-6.4678,32.3,26.69
76396,-6.5129,33.3,26.69
77117,-6.5129,33.3,26.70
77838,-6.5129,33.3,26.69
78559,-6.5129,32.3,26.70
79280,-6.5129,33.3,26.70
80001,-6.5129,33.3,26.70
80722,-6.5129,33.3,26.70
81443,-6.5129,33.3,26.70
82164,-6.5129,33.3,26.70
82885,-6.5129,33.3,26.70
83606,-6.5129,33.3,26.70
84327,-6.5129,33.3,26.70
85048,-6.5129,33.3,26.70
85769,-6.5129,33.3,26.71
86490,-6.5129,33.3,26.71
87211,-6.5129,33.3,26.71
87932,-6.5129,33.3,26.71
88653,-6.5129,33.3,26.71
89374,-6.5129,33.3,26.71
90095,-6.5129,33.3,26.72
90816,-6.5129,33.3,26.71
91537,-6.5129,33.3,26.72
92258,-6.5129,33.3,26.72
92979,-6.5805,33.3,26.72
93700,-6.8960,33.3,26.72
94421,-6.8960,34.3,26.72
95142,-6.5355,34.3,26.72
95863,-7.3693,33.3,26.72
96584,-7.2115,33.3,26.72
97305,-6.9186,33.3,26.72
98026,-6.3101,34.3,26.72
98747,-6.2876,33.3,26.72
99468,-7.4820,33.3,26.72
100189,-6.6707,33.3,26.73
100910,-7.8876,34.3,26.72
101631,-7.0989,33.3,26.73
102352,-6.5805,33.3,26.73
103073,-7.3242,33.3,26.73
103794,-7.3242,33.3,26.73
104515,-7.3242,33.3,26.73
105236,-7.3242,33.3,26.74
105957,-7.3242,33.3,26.74
106678,-7.3242,33.3,26.73
107399,-7.3242,33.3,26.73
108120,-7.3242,34.3,26.73
108841,-7.3242,33.3,26.74
109562,-7.3242,34.3,26.74
110283,-7.3242,33.3,26.74
111004,-7.3242,34.3,26.74
111725,-7.3242,33.3,26.74
112446,-7.3242,33.3,26.73
113167,-7.3242,33.3,26.74
113888,-7.3242,33.3,26.74
114609,-7.3242,34.3,26.75
115330,-7.3242,34.3,26.75
116051,-7.3242,33.3,26.75
116772,-7.3242,34.3,26.75
117493,-7.3242,34.3,26.75
118214,-7.3242,34.3,26.75
118935,-7.3242,34.3,26.75
119656,-6.4453,33.3,26.75
120377,-7.4144,34.3,26.75
121098,-6.7383,34.3,26.75
121819,-7.5270,34.3,26.75
122540,-7.1439,34.3,26.76
123261,-7.6848,34.3,26.76
123982,-6.9411,34.3,26.75
124703,-7.5045,34.3,26.75
125424,-7.7299,34.3,26.76
126145,-6.9636,34.3,26.76
126866,-7.4594,34.3,26.76
127587,-7.5270,34.3,26.76
128308,-7.5496,34.3,26.76
129029,-7.9778,34.3,26.76
129750,-6.9636,34.3,26.76
130471,-6.9636,34.3,26.76
131192,-6.9636,34.3,26.76
131913,-6.9636,34.3,26.76
132634,-6.9636,34.3,26.77
133355,-6.9636,34.3,26.77
134076,-6.9636,34.3,26.77
134797,-6.9636,34.3,26.77
135518,-6.9636,34.3,26.77
136239,-6.9636,34.3,26.77
136960,-6.9636,34.3,26.77
137681,-6.9636,34.3,26.77
138402,-6.9636,34.3,26.77
139123,-6.9636,34.3,26.77
139844,-6.9636,34.3,26.78
140565,-6.9636,34.3,26.78
141286,-6.9636,34.3,26.78
142007,-6.9636,34.3,26.78
142728,-6.9636,34.3,26.77
143449,-6.9636,34.3,26.78
144170,-6.9636,34.3,26.78
144891,-6.9636,34.3,26.78
145612,-6.9636,34.3,26.78
146333,-5.6791,34.3,26.78
147054,-6.8284,34.3,26.78
# [n=200] mean=-6.3000 m  sigma=1.7435 m  die=34.3 C  CalVal=-39
147775,-7.5270,34.3,26.79
148496,-6.8960,34.3,26.78
149217,-6.6256,34.3,26.79
149938,-6.9411,34.3,26.79
150659,-7.5496,34.3,26.79
151380,-7.0087,34.3,26.79
152101,-7.1439,34.3,26.78
152822,-7.4369,34.3,26.79
153543,-7.7975,34.3,26.79
154264,-7.4820,34.3,26.79
154985,-7.1665,34.3,26.79
155706,-7.2791,34.3,26.79
156427,-7.2566,34.3,26.80
157148,-7.2566,34.3,26.80
157869,-7.2566,34.3,26.79
158590,-7.2566,34.3,26.80
159311,-7.2566,34.3,26.80
160032,-7.2566,34.3,26.80
160753,-7.2566,34.3,26.80
161474,-7.2566,34.3,26.80
162195,-7.2566,34.3,26.80
162916,-7.2566,34.3,26.81
163637,-7.2566,34.3,26.81
164358,-7.2566,34.3,26.80
165079,-7.2566,34.3,26.81
165800,-7.2566,34.3,26.80
166521,-7.2566,34.3,26.81
167242,-7.2566,34.3,26.81
167963,-7.2566,34.3,26.81
168684,-7.2566,34.3,26.81
169405,-7.2566,34.3,26.81
170126,-7.2566,34.3,26.81
170847,-7.2566,34.3,26.81
171568,-7.2566,34.3,26.81
172289,-7.2566,34.3,26.82
173010,-6.7834,34.3,26.82
173731,-6.2425,34.3,26.81
174452,-7.8876,34.3,26.82
175173,-7.2566,35.3,26.82
175894,-7.0312,34.3,26.82
176615,-6.8059,34.3,26.82
