pass_num,gain_set,gain_verified,mean_m,sigma_m,rssi_dbm,n_raw,n_rejected,cal,time_utc
1,13,13,4.2917,0.5533,-41.0,500,1,13382,2026-07-21T03:03:00+00:00
1,12,12,4.4959,0.5055,-41.0,500,2,13382,2026-07-21T03:09:16+00:00
1,11,11,4.4553,0.5257,-40.2,500,2,13382,2026-07-21T03:15:33+00:00
1,10,10,4.5265,0.5701,-41.0,500,1,13382,2026-07-21T03:21:49+00:00
1,9,9,3.287,0.5903,-40.6,500,1,13382,2026-07-21T03:28:05+00:00
1,8,8,3.3604,0.5221,-40.5,500,1,13382,2026-07-21T03:34:21+00:00
1,7,7,3.6196,0.5382,-40.5,500,0,13382,2026-07-21T03:40:37+00:00
1,6,6,2.0208,0.5413,-41.0,500,1,13382,2026-07-21T03:46:53+00:00
1,5,5,1.9106,0.7036,-40.6,500,1,13382,2026-07-21T03:53:09+00:00
1,4,4,1.6318,0.883,-40.9,500,1,13382,2026-07-21T03:59:26+00:00
1,3,3,1.4382,1.3216,-41.2,500,2,13382,2026-07-21T04:05:44+00:00
1,2,2,1.1214,2.1683,-41.4,500,1,13382,2026-07-21T04:12:03+00:00
1,1,1,-0.1524,4.7822,-42.3,500,0,13382,2026-07-21T04:18:20+00:00
2,1,1,0.3,4.8207,-42.3,500,0,13382,2026-07-21T04:24:34+00:00
2,2,2,1.1668,2.0892,-41.5,500,1,13382,2026-07-21T04:30:52+00:00
2,3,3,1.5549,1.3093,-41.2,500,0,13382,2026-07-21T04:37:08+00:00
2,4,4,1.8667,0.887,-40.9,500,3,13382,2026-07-21T04:43:29+00:00
2,5,5,2.1898,0.6812,-40.6,500,1,13382,2026-07-21T04:49:46+00:00
2,6,6,2.2224,0.5442,-41.0,500,2,13382,2026-07-21T04:56:02+00:00
2,7,7,3.7797,0.5475,-40.5,500,2,13382,2026-07-21T05:02:18+00:00
2,8,8,3.5026,0.5624,-40.5,500,0,13382,2026-07-21T05:08:39+00:00
2,9,9,3.5815,0.5635,-40.6,500,2,13382,2026-07-21T05:14:54+00:00
2,10,10,4.7344,0.5462,-40.9,500,1,13382,2026-07-21T05:21:10+00:00
2,11,11,4.8737,0.5385,-40.8,500,0,13382,2026-07-21T05:27:26+00:00
2,12,12,4.6068,0.5505,-40.9,500,1,13382,2026-07-21T05:33:42+00:00
2,13,13,4.7689,0.564,-40.8,500,2,13382,2026-07-21T05:39:58+00:00
3,13,13,4.7879,0.5598,-40.8,500,1,13382,2026-07-21T05:46:13+00:00
3,12,12,4.5484,0.5655,-40.9,500,1,13382,2026-07-21T05:52:29+00:00
3,11,11,4.7545,0.5559,-40.8,500,2,13382,2026-07-21T05:58:45+00:00
3,10,10,4.7022,0.5714,-41.0,500,1,13382,2026-07-21T06:05:01+00:00
3,9,9,3.4989,0.5728,-40.5,500,2,13382,2026-07-21T06:11:17+00:00
3,8,8,3.3972,0.5381,-40.5,500,1,13382,2026-07-21T06:17:33+00:00
3,7,7,3.6716,0.5392,-40.5,500,1,13382,2026-07-21T06:23:49+00:00
3,6,6,2.0464,0.5464,-41.0,500,0,13382,2026-07-21T06:30:04+00:00
3,5,5,2.0358,0.6752,-40.6,500,2,13382,2026-07-21T06:36:21+00:00
3,4,4,1.7927,0.8696,-40.9,500,1,13382,2026-07-21T06:42:37+00:00
3,3,3,1.6028,1.2374,-41.2,500,1,13382,2026-07-21T06:48:53+00:00
3,2,2,1.0514,2.1934,-41.4,500,0,13382,2026-07-21T06:55:14+00:00
3,1,1,0.4209,4.6875,-42.2,500,0,13382,2026-07-21T07:01:30+00:00
