pass_num,gain_set,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync,kept
1,13,6394,-1.8705,37.6,28.85,-48.5,13,0.0,-35.5,1
1,13,7120,-1.4874,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,7846,-2.5691,37.6,28.85,-48.5,13,0.0,-35.5,1
1,13,8572,-2.1860,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,9298,-2.1860,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,10024,-1.8930,38.6,28.85,-48.0,13,0.0,-35.5,1
1,13,10750,-1.5550,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,11476,-2.2311,38.6,28.86,-48.0,13,0.0,-35.5,1
1,13,12202,-2.1635,38.6,28.86,-48.0,13,0.0,-35.5,1
1,13,12928,-1.0141,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,13654,-1.8930,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,14380,-1.4198,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,15106,-1.2169,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,15832,-1.4423,39.6,28.86,-48.5,13,0.0,-35.5,1
1,13,16558,-2.0959,38.6,28.87,-48.5,13,0.0,-35.5,1
1,13,17284,-2.0959,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,18010,-0.9240,38.6,28.87,-48.5,13,0.0,-35.5,1
1,13,18736,-2.2311,38.6,28.87,-48.5,13,0.0,-35.5,1
1,13,19462,-1.1043,38.6,28.86,-48.5,13,0.0,-35.5,1
1,13,20188,-1.2169,38.6,28.87,-48.5,13,0.0,-35.5,1
1,13,20914,-2.4339,39.6,28.87,-48.5,13,0.0,-35.5,1
1,13,21640,-1.5325,39.6,28.87,-48.5,13,0.0,-35.5,1
1,13,22366,-0.4958,39.6,28.87,-48.0,13,0.0,-35.5,1
1,13,23092,-2.2536,38.6,28.87,-48.5,13,0.0,-35.5,1
1,13,23818,-1.9381,38.6,28.87,-48.5,13,0.0,-35.5,1
1,13,24544,-1.9832,39.6,28.87,-48.0,13,0.0,-35.5,1
1,13,25270,-1.9832,39.6,28.87,-48.0,13,0.0,-35.5,1
1,13,25996,-1.7803,39.6,28.87,-48.0,13,0.0,-35.5,1
1,13,26722,-1.9156,39.6,28.88,-48.5,13,0.0,-35.5,1
1,13,27448,-1.4423,39.6,28.88,-48.5,13,0.0,-35.5,1
1,13,28174,-2.0959,38.6,28.88,-48.5,13,0.0,-35.5,1
1,13,28900,-0.4507,39.6,28.89,-48.5,13,0.0,-35.5,1
1,13,29626,-2.3888,38.6,28.88,-48.5,13,0.0,-35.5,1
1,13,30352,-0.9014,38.6,28.88,-48.5,13,0.0,-35.5,1
1,13,31078,-2.5691,38.6,28.88,-48.0,13,0.0,-35.5,1
1,13,31804,-2.3663,39.6,28.88,-48.0,13,0.0,-35.5,1
1,13,32530,-2.0959,39.6,28.88,-48.5,13,0.0,-35.5,1
1,13,33256,-1.8930,39.6,28.89,-48.5,13,0.0,-35.5,1
1,13,33982,-1.4874,39.6,28.89,-48.0,13,0.0,-35.5,1
1,13,34708,-1.8029,38.6,28.89,-48.5,13,0.0,-35.5,1
1,13,35434,-1.0592,38.6,28.89,-48.5,13,0.0,-35.5,1
1,13,36160,-1.8480,38.6,28.89,-48.5,13,0.0,-35.5,1
1,13,36886,-2.1184,38.6,28.90,-48.0,13,0.0,-35.5,1
1,13,37612,-1.7127,38.6,28.89,-48.5,13,0.0,-35.5,1
1,13,38338,-0.9916,38.6,28.90,-48.5,13,0.0,-35.5,1
1,13,39064,-1.8705,38.6,28.90,-48.5,13,0.0,-35.5,1
1,13,39790,-1.3972,38.6,28.90,-48.5,13,0.0,-35.5,1
1,13,40516,-1.1493,39.6,28.90,-48.0,13,0.0,-35.5,1
1,13,41242,-1.2395,39.6,28.90,-48.5,13,0.0,-35.5,1
1,13,41968,-1.7803,39.6,28.91,-48.5,13,0.0,-35.5,1
1,13,42694,-1.3296,39.6,28.91,-48.5,13,0.0,-35.5,1
