time_utc,t_ms,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync
2026-07-20T16:18:59.380+00:00,32029,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:18:59.687+00:00,32336,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:18:59.994+00:00,32643,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:00.301+00:00,32950,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:00.608+00:00,33257,35.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:00.915+00:00,33564,35.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:01.222+00:00,33871,35.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:01.529+00:00,34178,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:01.836+00:00,34485,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:02.143+00:00,34792,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:02.450+00:00,35099,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:02.757+00:00,35406,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:03.064+00:00,35713,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:03.371+00:00,36020,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:03.678+00:00,36327,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:03.985+00:00,36634,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:04.293+00:00,36941,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:04.599+00:00,37248,35.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:04.906+00:00,37555,35.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:05.213+00:00,37862,35.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:05.520+00:00,38169,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:05.827+00:00,38476,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:06.134+00:00,38783,35.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:06.441+00:00,39090,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:06.748+00:00,39397,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:07.055+00:00,39704,35.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:07.362+00:00,40011,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:07.669+00:00,40318,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:07.976+00:00,40625,35.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:08.283+00:00,40932,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:08.590+00:00,41239,36.3,25.88,0.0,10,-29.5,-35.5
2026-07-20T16:19:08.897+00:00,41546,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:09.204+00:00,41853,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:09.511+00:00,42160,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:09.818+00:00,42467,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:10.125+00:00,42774,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:10.432+00:00,43081,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:10.739+00:00,43388,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:11.046+00:00,43695,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:11.354+00:00,44002,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:11.660+00:00,44309,36.3,25.89,0.0,10,-29.5,-35.5
2026-07-20T16:19:11.967+00:00,44616,36.3,25.89,0.0,10,-29.5,-35.5
