pass_num,gain_set,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync,kept
1,13,6394,4.4621,38.6,29.28,-41.0,13,0.0,-35.5,1
1,13,7120,3.7861,38.6,29.28,-41.0,13,0.0,-35.5,1
1,13,7846,4.7326,38.6,29.27,-41.0,13,0.0,-35.5,1
1,13,8572,4.9579,38.6,29.28,-41.0,13,0.0,-35.5,1
1,13,9298,3.7635,38.6,29.28,-41.0,13,0.0,-35.5,1
1,13,10024,3.7184,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,10750,4.0114,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,11476,4.0114,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,12202,3.6508,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,12928,5.0255,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,13654,4.9354,39.6,29.27,-41.0,13,0.0,-35.5,1
1,13,14380,4.0340,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,15106,4.2142,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,15832,4.1466,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,16558,3.9889,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,17284,3.4931,38.6,29.28,-41.0,13,0.0,-35.5,1
1,13,18010,4.5974,38.6,29.28,-40.5,13,0.0,-35.5,1
1,13,18736,5.1608,38.6,29.28,-40.5,13,0.0,-35.5,1
1,13,19462,5.1608,39.6,29.28,-40.5,13,0.0,-35.5,1
1,13,20188,4.2819,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,20914,4.5523,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,21640,4.2593,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,22366,3.8987,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,23092,3.8311,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,23818,4.1466,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,24544,4.8453,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,25270,4.1016,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,25996,4.4171,40.6,29.28,-41.0,13,0.0,-35.5,1
1,13,26722,5.1608,39.6,29.28,-41.0,13,0.0,-35.5,1
1,13,27448,5.1608,40.6,29.29,-41.0,13,0.0,-35.5,1
