time_utc,t_ms,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync
2026-07-21T02:56:47.489+00:00,90631,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:47.490+00:00,90938,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:47.796+00:00,91245,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:48.103+00:00,91552,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:48.410+00:00,91859,39.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:48.717+00:00,92166,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:49.024+00:00,92473,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:49.331+00:00,92780,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:49.638+00:00,93087,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:49.945+00:00,93394,40.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:50.253+00:00,93701,39.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:50.559+00:00,94008,39.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:50.867+00:00,94315,39.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:51.174+00:00,94622,39.6,28.32,0.0,10,-29.5,-35.5
2026-07-21T02:56:51.788+00:00,94929,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:51.788+00:00,95236,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:52.094+00:00,95543,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:52.401+00:00,95850,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:52.709+00:00,96157,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:53.016+00:00,96464,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:53.323+00:00,96771,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:53.630+00:00,97078,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:53.937+00:00,97385,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:54.244+00:00,97692,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:54.551+00:00,97999,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:54.858+00:00,98306,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:55.164+00:00,98613,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:55.472+00:00,98920,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:55.779+00:00,99227,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:56.086+00:00,99534,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:56.393+00:00,99841,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:56.700+00:00,100148,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:57.007+00:00,100455,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:57.314+00:00,100762,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:57.621+00:00,101069,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:57.928+00:00,101376,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:58.235+00:00,101683,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:58.542+00:00,101990,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:58.849+00:00,102297,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:59.155+00:00,102604,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:59.463+00:00,102911,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:56:59.770+00:00,103218,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:00.077+00:00,103525,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:00.384+00:00,103832,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:00.691+00:00,104139,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:00.998+00:00,104446,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:01.305+00:00,104753,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:01.611+00:00,105060,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:01.919+00:00,105367,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:02.226+00:00,105674,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:02.533+00:00,105981,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:02.840+00:00,106288,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:03.147+00:00,106595,39.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:03.454+00:00,106902,39.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:03.761+00:00,107209,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:04.067+00:00,107516,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:04.374+00:00,107823,39.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:04.681+00:00,108130,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:04.988+00:00,108437,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:05.295+00:00,108744,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:05.602+00:00,109051,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:05.909+00:00,109358,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:06.523+00:00,109665,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:06.523+00:00,109972,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:06.830+00:00,110279,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:07.137+00:00,110586,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:07.444+00:00,110893,39.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:07.751+00:00,111200,39.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:08.058+00:00,111507,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:08.365+00:00,111814,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:08.672+00:00,112121,39.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:08.979+00:00,112428,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:09.286+00:00,112735,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:09.593+00:00,113042,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:09.900+00:00,113349,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:10.207+00:00,113656,40.6,28.31,0.0,10,-29.5,-35.5
2026-07-21T02:57:10.514+00:00,113963,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:10.821+00:00,114270,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:11.128+00:00,114577,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:11.435+00:00,114884,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:11.742+00:00,115191,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:12.048+00:00,115498,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:12.355+00:00,115805,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:12.663+00:00,116112,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:12.969+00:00,116419,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:13.277+00:00,116726,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:13.583+00:00,117033,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:13.891+00:00,117340,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:14.198+00:00,117647,40.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:14.505+00:00,117954,39.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:14.812+00:00,118261,39.6,28.30,0.0,10,-29.5,-35.5
2026-07-21T02:57:15.119+00:00,118568,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:15.426+00:00,118875,39.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:15.733+00:00,119182,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:16.040+00:00,119489,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:16.347+00:00,119796,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:16.654+00:00,120103,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:16.961+00:00,120410,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:17.268+00:00,120717,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:17.575+00:00,121024,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:18.188+00:00,121331,41.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:18.188+00:00,121638,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:18.496+00:00,121945,40.6,28.29,0.0,10,-29.5,-35.5
2026-07-21T02:57:18.803+00:00,122252,40.6,28.29,0.0,10,-29.5,-35.5
