pass_num,gain_set,gain_verified,mean_m,sigma_m,rssi_dbm,n_raw,n_rejected,cal,time_utc
1,13,13,1.0776,0.5803,-40.6,500,1,13382,2026-07-20T16:25:13+00:00
1,12,12,0.52,0.5363,-40.7,500,0,13382,2026-07-20T16:31:34+00:00
1,11,11,1.1391,0.513,-40.6,500,1,13382,2026-07-20T16:37:51+00:00
1,10,10,0.573,0.4829,-40.6,500,2,13382,2026-07-20T16:44:14+00:00
1,9,9,0.2517,0.7795,-40.5,500,2,13382,2026-07-20T16:50:38+00:00
1,8,8,0.7754,0.5336,-40.3,500,0,13382,2026-07-20T16:56:57+00:00
1,7,7,1.146,0.5585,-40.1,500,1,13382,2026-07-20T17:03:13+00:00
1,6,6,-0.465,0.5586,-40.7,500,2,13382,2026-07-20T17:09:34+00:00
1,5,5,-0.7653,0.6652,-40.4,500,0,13382,2026-07-20T17:15:52+00:00
1,4,4,-0.7704,0.9629,-40.6,500,1,13382,2026-07-20T17:22:09+00:00
1,3,3,-0.8626,1.4005,-40.9,500,1,13382,2026-07-20T17:28:28+00:00
1,2,2,-1.4608,2.2901,-41.2,500,0,13382,2026-07-20T17:34:44+00:00
1,1,1,-2.3726,5.8238,-42.2,500,1,13382,2026-07-20T17:41:01+00:00
2,1,1,-2.0522,4.8549,-42.2,500,0,13382,2026-07-20T17:47:15+00:00
2,2,2,-1.1231,2.064,-41.1,500,1,13382,2026-07-20T17:53:33+00:00
2,3,3,-0.6288,1.3835,-40.9,500,1,13382,2026-07-20T17:59:50+00:00
2,4,4,-0.4664,0.8964,-40.6,500,1,13382,2026-07-20T18:06:08+00:00
2,5,5,-0.4446,0.6569,-40.3,500,1,13382,2026-07-20T18:12:29+00:00
2,6,6,-0.2352,0.5868,-40.6,500,1,13382,2026-07-20T18:18:51+00:00
2,7,7,1.1689,0.5506,-40.1,500,1,13382,2026-07-20T18:25:07+00:00
2,8,8,1.0775,0.5245,-40.2,500,2,13382,2026-07-20T18:31:24+00:00
2,9,9,1.2659,0.5419,-40.4,500,1,13382,2026-07-20T18:37:40+00:00
2,10,10,2.0711,0.5381,-40.5,500,2,13382,2026-07-20T18:43:56+00:00
2,11,11,2.4518,0.5468,-40.5,500,2,13382,2026-07-20T18:50:12+00:00
2,12,12,2.0201,0.5357,-40.5,500,2,13382,2026-07-20T18:56:28+00:00
2,13,13,2.3563,0.5142,-40.5,500,0,13382,2026-07-20T19:02:45+00:00
3,13,13,2.3476,0.5393,-40.5,500,1,13382,2026-07-20T19:08:59+00:00
3,12,12,2.0581,0.5815,-40.5,500,0,13382,2026-07-20T19:15:15+00:00
3,11,11,2.5149,0.554,-40.5,500,1,13382,2026-07-20T19:21:31+00:00
3,10,10,2.2626,0.5404,-40.4,500,1,13382,2026-07-20T19:27:47+00:00
3,9,9,1.5766,0.5594,-40.4,500,0,13382,2026-07-20T19:34:04+00:00
3,8,8,1.2844,0.5453,-40.2,500,1,13382,2026-07-20T19:40:20+00:00
3,7,7,1.2515,0.5252,-40.1,500,1,13382,2026-07-20T19:46:36+00:00
3,6,6,-0.0048,0.5945,-40.6,500,1,13382,2026-07-20T19:52:57+00:00
3,5,5,-0.0378,0.6766,-40.3,500,0,13382,2026-07-20T19:59:16+00:00
3,4,4,-0.3965,0.9847,-40.5,500,2,13382,2026-07-20T20:05:34+00:00
3,3,3,-0.6218,1.5286,-40.9,500,0,13382,2026-07-20T20:11:54+00:00
3,2,2,-1.1515,2.1958,-41.1,500,3,13382,2026-07-20T20:18:10+00:00
3,1,1,-2.0098,5.9299,-42.2,500,0,13382,2026-07-20T20:24:28+00:00
