MAC: 9c:13:9e:f1:0a:a8
Uploading stub...
Running stub...
Stub running...
Changing baud rate to 921600
Changed.
Configuring flash size...
Flash will be erased from 0x00000000 to 0x00003fff...
Flash will be erased from 0x00008000 to 0x00008fff...
Flash will be erased from 0x0000e000 to 0x0000ffff...
Flash will be erased from 0x00010000 to 0x0005efff...
SHA digest in image updated
Compressed 15104 bytes to 10430...
Writing at 0x00000000... (100 %)
Wrote 15104 bytes (10430 compressed) at 0x00000000 in 0.2 seconds (effective 736.8 kbit/s)...
Hash of data verified.
Compressed 3072 bytes to 146...
Writing at 0x00008000... (100 %)
Wrote 3072 bytes (146 compressed) at 0x00008000 in 0.0 seconds (effective 855.9 kbit/s)...
Hash of data verified.
Compressed 8192 bytes to 47...
Writing at 0x0000e000... (100 %)
Wrote 8192 bytes (47 compressed) at 0x0000e000 in 0.1 seconds (effective 1127.4 kbit/s)...
Hash of data verified.
Compressed 322400 bytes to 180653...
Writing at 0x00010000... (8 %)
Writing at 0x0001bdcd... (16 %)
Writing at 0x00026fde... (25 %)
Writing at 0x0002c62c... (33 %)
Writing at 0x00032305... (41 %)
Writing at 0x00037bad... (50 %)
Writing at 0x0003db4c... (58 %)
Writing at 0x0004317c... (66 %)
Writing at 0x000484bf... (75 %)
Writing at 0x0004dc28... (83 %)
Writing at 0x00056f64... (91 %)
Writing at 0x0005e91f... (100 %)
Wrote 322400 bytes (180653 compressed) at 0x00010000 in 1.8 seconds (effective 1442.1 kbit/s)...
Hash of data verified.

Leaving...
Hard resetting via RTS pin...
=================================== [SUCCESS] Took 7.62 seconds ===================================

Environment    Status    Duration
-------------  --------  ------------
master         SUCCESS   00:00:07.616
=================================== 1 succeeded in 00:00:07.616 ===================================
[serial] Opening /dev/ttyACM2 at 115200
[serial] Waiting for first 500-sample stats line (~360 s)...
  5651,-0.1352,38.6,27.54
  6373,-0.1352,38.6,27.54
  7095,1.2846,38.6,27.54
  7817,1.7803,38.6,27.54
  8539,0.9240,38.6,27.53
  9261,0.6085,38.6,27.53
  9983,1.8705,39.6,27.53
  10705,0.4958,39.6,27.53
  11427,0.6535,39.6,27.53
  12149,0.3380,39.6,27.53
  12871,0.9240,39.6,27.53
  13593,0.7437,39.6,27.53
  14315,0.7437,39.6,27.52
  15037,0.6761,39.6,27.53
  15759,1.5099,39.6,27.52
  16481,-0.2704,39.6,27.53
  17203,0.0676,39.6,27.52
  17925,0.6535,39.6,27.52
  18647,0.6986,39.6,27.53
  19369,0.6986,39.6,27.52
  20091,0.5183,39.6,27.52
  20813,0.6986,39.6,27.52
  21535,0.7212,39.6,27.52
  22257,0.6986,39.6,27.52
  22979,-31.8434,39.6,27.52
  23701,0.5409,39.6,27.52
  24423,0.9465,38.6,27.52
  25145,0.6761,38.6,27.52
  25867,0.4958,38.6,27.52
  26589,1.2846,38.6,27.52
  27311,1.1944,38.6,27.51
  28033,1.0367,38.6,27.52
  28755,1.2395,39.6,27.51
  29477,1.8930,39.6,27.51
  30199,0.5409,39.6,27.51
  30921,1.1719,39.6,27.51
  31643,1.6677,39.6,27.51
  32365,0.5409,39.6,27.51
  33087,1.6451,39.6,27.50
  33809,0.7662,39.6,27.50
  34531,1.4648,39.6,27.50
  35253,0.4958,39.6,27.50
  35975,0.4958,39.6,27.50
  36697,-0.0676,39.6,27.49
  37419,0.4282,39.6,27.50
  38141,1.1944,39.6,27.49
  38863,1.6226,39.6,27.49
  39585,1.4423,39.6,27.49
  40307,0.9691,39.6,27.49
  41029,1.3296,39.6,27.49
  41751,0.4507,38.6,27.49
  42473,1.4648,39.6,27.49
  43195,0.4507,39.6,27.49
  43917,1.7127,39.6,27.48
  44639,1.4198,38.6,27.48
  45361,1.0141,39.6,27.48
  46083,0.5409,39.6,27.48
  46805,0.2930,39.6,27.48
  47527,1.4198,39.6,27.48
  48249,0.2028,39.6,27.48
  48971,1.3522,39.6,27.48
  49693,0.4733,39.6,27.48
  50415,0.4282,39.6,27.48
  51137,0.7437,39.6,27.48
  51859,1.0141,39.6,27.48
  52581,1.0141,39.6,27.48
  53303,1.5099,38.6,27.48
