pass_num,gain_set,gain_verified,mean_m,sigma_m,rssi_dbm,n_raw,n_rejected,cal,time_utc
1,13,13,-1.7922,0.5924,-48.4,500,1,13382,2026-07-20T22:52:12+00:00
1,12,12,-1.6382,0.5921,-48.8,500,2,13382,2026-07-20T22:58:28+00:00
1,11,11,-1.0537,0.5852,-49.3,500,1,13382,2026-07-20T23:04:46+00:00
1,10,10,0.3874,0.6029,-50.1,500,0,13382,2026-07-20T23:11:07+00:00
1,9,9,5.4275,0.5849,-53.4,500,1,13382,2026-07-20T23:17:23+00:00
1,8,8,1.8153,0.4887,-55.9,500,3,13382,2026-07-20T23:23:39+00:00
1,7,7,0.2513,0.5729,-59.3,500,1,13382,2026-07-20T23:30:02+00:00
1,6,6,-1.2266,0.5543,-60.0,500,2,13382,2026-07-20T23:36:18+00:00
1,5,5,-1.36,0.4834,-59.7,500,0,13382,2026-07-20T23:42:34+00:00
1,4,4,-1.7968,0.5127,-60.0,500,2,13382,2026-07-20T23:48:49+00:00
1,3,3,-1.8468,0.5188,-60.5,500,1,13382,2026-07-20T23:55:04+00:00
1,2,2,-2.2986,0.5231,-60.5,500,1,13382,2026-07-21T00:01:21+00:00
1,1,1,-2.443,0.519,-60.6,500,1,13382,2026-07-21T00:07:37+00:00
2,1,1,-2.4934,0.5405,-60.6,500,0,13382,2026-07-21T00:13:51+00:00
2,2,2,-2.2513,0.5363,-60.5,500,1,13382,2026-07-21T00:20:07+00:00
2,3,3,-1.8069,0.5148,-60.5,500,2,13382,2026-07-21T00:26:28+00:00
2,4,4,-1.8572,0.525,-60.0,500,0,13382,2026-07-21T00:32:44+00:00
2,5,5,-1.3542,0.4514,-59.8,500,2,13382,2026-07-21T00:39:00+00:00
2,6,6,-1.3337,0.5721,-60.0,500,2,13382,2026-07-21T00:45:17+00:00
2,7,7,0.1209,0.604,-59.2,500,2,13382,2026-07-21T00:51:37+00:00
2,8,8,1.6129,0.4908,-55.9,500,2,13382,2026-07-21T00:57:53+00:00
2,9,9,5.1356,0.5656,-53.4,500,2,13382,2026-07-21T01:04:09+00:00
2,10,10,0.2378,0.6214,-50.1,500,0,13382,2026-07-21T01:10:25+00:00
2,11,11,-1.2613,0.6174,-49.2,500,1,13382,2026-07-21T01:16:41+00:00
2,12,12,-1.8153,0.5892,-48.8,500,1,13382,2026-07-21T01:22:57+00:00
2,13,13,-2.0551,0.6097,-48.4,500,2,13382,2026-07-21T01:29:13+00:00
3,13,13,-2.0445,0.5916,-48.4,500,1,13382,2026-07-21T01:35:28+00:00
3,12,12,-1.8049,0.6225,-48.8,500,1,13382,2026-07-21T01:41:45+00:00
3,11,11,-1.1956,0.5732,-49.2,500,1,13382,2026-07-21T01:48:01+00:00
3,10,10,0.346,0.5894,-50.1,500,1,13382,2026-07-21T01:54:20+00:00
3,9,9,5.2788,0.5529,-53.4,500,2,13382,2026-07-21T02:00:36+00:00
3,8,8,1.6861,0.55,-55.9,500,1,13382,2026-07-21T02:06:52+00:00
3,7,7,0.1522,0.5521,-59.2,500,1,13382,2026-07-21T02:13:14+00:00
3,6,6,-1.3055,0.5511,-60.0,500,2,13382,2026-07-21T02:19:30+00:00
3,5,5,-1.4877,0.5109,-59.7,500,1,13382,2026-07-21T02:25:46+00:00
3,4,4,-1.9108,0.5277,-60.0,500,3,13382,2026-07-21T02:32:02+00:00
3,3,3,-1.9179,0.5155,-60.5,500,2,13382,2026-07-21T02:38:18+00:00
3,2,2,-2.3728,0.515,-60.5,500,1,13382,2026-07-21T02:44:34+00:00
3,1,1,-2.5602,0.5007,-60.6,500,2,13382,2026-07-21T02:50:50+00:00
