time_utc,t_ms,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync
2026-07-19T23:41:09.541+00:00,31712,39.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:09.848+00:00,32019,40.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:10.155+00:00,32326,40.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:10.462+00:00,32633,40.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:10.769+00:00,32940,40.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:11.076+00:00,33247,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:11.383+00:00,33554,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:11.690+00:00,33861,40.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:11.997+00:00,34168,40.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:12.304+00:00,34475,40.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:12.611+00:00,34782,39.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:12.918+00:00,35089,40.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:13.225+00:00,35396,40.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:13.532+00:00,35703,40.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:13.839+00:00,36010,40.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:14.146+00:00,36317,40.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:14.453+00:00,36624,40.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:14.760+00:00,36931,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:15.067+00:00,37238,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:15.374+00:00,37545,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:15.681+00:00,37852,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:15.988+00:00,38159,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:16.295+00:00,38466,39.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:16.602+00:00,38773,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:16.909+00:00,39080,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:17.216+00:00,39387,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:17.522+00:00,39694,39.3,28.54,0.0,10,15.0,-35.5
2026-07-19T23:41:17.830+00:00,40001,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:18.136+00:00,40308,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:18.444+00:00,40615,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:18.751+00:00,40922,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:19.058+00:00,41229,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:19.365+00:00,41536,39.3,28.55,0.0,10,15.0,-35.5
2026-07-19T23:41:19.671+00:00,41843,39.3,28.55,0.0,10,15.0,-35.5
