--- Terminal on /dev/ttyACM1 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
aw_m,die_c,amb_c
1514790,-6.6031,17.3,5.37
1515511,-6.6031,17.3,5.37
1516232,-6.6031,17.3,5.37
1516953,-6.6031,17.3,5.36
1517674,-6.6031,18.3,5.36
1518395,-6.6031,18.3,5.35
1519116,-6.6031,18.3,5.36
1519837,-6.6031,18.3,5.35
1520558,-6.6031,17.3,5.35
1521279,-6.6031,17.3,5.34
1522000,-6.6031,17.3,5.34
1522721,-6.6031,18.3,5.34
1523442,-6.6031,18.3,5.34
1524163,-6.6031,17.3,5.34
1524884,-6.6031,17.3,5.33
1525605,-6.6031,17.3,5.34
1526326,-6.6031,17.3,5.33
1527047,-6.6031,16.3,5.33
1527768,-6.6031,17.3,5.33
1528489,-6.6031,17.3,5.32
1529210,-6.6031,16.3,5.32
1529931,-6.6031,17.3,5.32
1530652,-6.6031,17.3,5.32
1531373,-5.0706,17.3,5.32
1532094,-5.2058,18.3,5.31
1532815,-5.4988,18.3,5.31
# [n=2100] mean=-6.9575 m  sigma=1.0559 m  die=18.3 C  CalVal=-42
1533536,-6.0171,17.3,5.30
1534257,-5.7692,16.3,5.30
1534978,-6.5355,17.3,5.30
1535699,-5.8819,17.3,5.30
1536420,-6.3326,17.3,5.30
1537141,-6.0847,17.3,5.30
1537862,-5.8819,17.3,5.30
1538583,-5.4312,17.3,5.29
1539304,-5.3861,17.3,5.29
1540025,-6.0847,18.3,5.28
1540746,-5.6791,18.3,5.29
1541467,-7.3918,18.3,5.28
1542188,-7.3918,17.3,5.28
1542909,-7.3918,17.3,5.28
1543630,-7.3918,16.3,5.27
1544351,-7.3918,17.3,5.27
1545072,-7.3918,17.3,5.27
1545793,-7.3918,17.3,5.27
1546514,-7.3918,18.3,5.26
1547235,-7.3918,18.3,5.26
1547956,-7.3918,18.3,5.26
1548677,-7.3918,18.3,5.26
1549398,-7.3918,17.3,5.26
1550119,-7.3918,18.3,5.26
1550840,-7.3918,18.3,5.26
1551561,-7.3918,17.3,5.25
1552282,-7.3918,17.3,5.25
1553003,-7.3918,17.3,5.25
1553724,-7.3918,17.3,5.25
1554445,-7.3918,17.3,5.24
1555166,-7.3918,17.3,5.24
1555887,-7.3918,17.3,5.24
1556608,-7.3918,17.3,5.24
1557329,-7.3918,17.3,5.24
1558050,-7.6172,18.3,5.23
1558771,-5.6565,18.3,5.23
1559492,-6.3101,18.3,5.23
1560213,-5.9495,17.3,5.23
1560934,-5.8819,17.3,5.23
1561655,-5.4087,17.3,5.22
1562376,-5.8143,17.3,5.22
1563097,-6.1974,18.3,5.22
1563818,-5.9721,18.3,5.22
1564539,-6.0397,17.3,5.22
1565260,-5.4988,18.3,5.22
1565981,-6.5580,18.3,5.21
1566702,-5.5889,17.3,5.21
1567423,-6.2876,17.3,5.21
1568144,-5.3636,18.3,5.20
1568865,-5.3636,17.3,5.20
1569586,-5.3636,17.3,5.20
1570307,-5.3636,18.3,5.20
1571028,-5.3636,18.3,5.20
1571749,-5.3636,17.3,5.19
1572470,-5.3636,17.3,5.19
1573191,-5.3636,17.3,5.19
1573912,-5.3636,17.3,5.19
1574633,-5.3636,18.3,5.19
1575354,-5.3636,18.3,5.19
1576075,-5.3636,18.3,5.18
1576796,-5.3636,18.3,5.18
1577517,-5.3636,18.3,5.18
1578238,-5.3636,17.3,5.18
1578959,-5.3636,18.3,5.17
1579680,-5.3636,17.3,5.17
1580401,-5.3636,18.3,5.17
1581122,-5.3636,17.3,5.17
1581843,-5.3636,16.3,5.17
1582564,-5.3636,17.3,5.16
1583285,-5.3636,17.3,5.16
1584006,-5.3636,17.3,5.16
1584727,-7.1890,17.3,5.15
1585448,-7.8425,17.3,5.16
1586169,-7.2115,17.3,5.15
1586890,-7.5045,17.3,5.15
1587611,-6.3101,17.3,5.15
1588332,-6.2650,17.3,5.14
1589053,-6.4904,17.3,5.14
1589774,-6.7157,18.3,5.14
1590495,-6.1523,17.3,5.14
1591216,-5.0706,18.3,5.13
1591937,-7.0312,18.3,5.13
1592658,-5.4087,18.3,5.13
1593379,-5.6791,17.3,5.13
1594100,-5.7918,17.3,5.13
1594821,-6.2876,18.3,5.13
1595542,-6.2876,17.3,5.13
1596263,-6.2876,17.3,5.13
1596984,-6.2876,17.3,5.12
1597705,-6.2876,17.3,5.12
1598426,-6.2876,17.3,5.12
1599147,-6.2876,17.3,5.11
1599868,-6.2876,17.3,5.11
1600589,-6.2876,17.3,5.11
1601310,-6.2876,17.3,5.11
1602031,-6.2876,17.3,5.11
1602752,-6.2876,17.3,5.10
1603473,-6.2876,17.3,5.11
1604194,-6.2876,17.3,5.11
1604915,-6.2876,17.3,5.10
# [n=2200] mean=-6.9268 m  sigma=1.0552 m  die=17.3 C  CalVal=-42
1605636,-6.2876,17.3,5.10
1606357,-6.2876,17.3,5.10
1607078,-6.2876,17.3,5.10
1607799,-6.2876,17.3,5.09
1608520,-6.2876,17.3,5.09
1609241,-6.2876,17.3,5.09
1609962,-6.2876,17.3,5.09
1610683,-6.2876,17.3,5.09
1611404,-7.1665,17.3,5.09
1612125,-8.2482,16.3,5.08
1612846,-7.2115,17.3,5.08
1613567,-8.9017,17.3,5.08
1614288,-7.6172,17.3,5.08
1615009,-7.5270,17.3,5.07
1615730,-5.3185,18.3,5.07
1616451,-6.3552,18.3,5.07
1617172,-6.6707,17.3,5.07
1617893,-6.9186,17.3,5.07
1618614,-6.3777,17.3,5.07
1619335,-4.9805,18.3,5.06
1620056,-5.5664,17.3,5.06
1620777,-6.4453,17.3,5.06
1621498,-6.2876,17.3,5.06
1622219,-6.2876,17.3,5.06
1622940,-6.2876,17.3,5.06
1623661,-6.2876,17.3,5.05
1624382,-6.2876,17.3,5.05
1625103,-6.2876,17.3,5.05
1625824,-6.2876,17.3,5.04
1626545,-6.2876,16.3,5.05
1627266,-6.2876,16.3,5.04
1627987,-6.2876,17.3,5.05
1628708,-6.2876,17.3,5.04
1629429,-6.2876,17.3,5.04
1630150,-6.2876,17.3,5.04
1630871,-6.2876,17.3,5.03
1631592,-6.2876,17.3,5.03
1632313,-6.2876,17.3,5.03
1633034,-6.2876,17.3,5.03
1633755,-6.2876,17.3,5.03
1634476,-6.2876,17.3,5.02
1635197,-6.2876,17.3,5.02
1635918,-6.2876,17.3,5.02
1636639,-6.2876,16.3,5.03
1637360,-6.2876,17.3,5.02
1638081,-7.3918,17.3,5.02
1638802,-8.0904,17.3,5.02
1639523,-8.0228,16.3,5.01
1640244,-6.6031,17.3,5.01
1640965,-7.0763,17.3,5.01
1641686,-7.6848,16.3,5.01
1642407,-7.4144,15.3,5.01
1643128,-7.4369,16.3,5.01
1643849,-7.0538,15.3,5.01
1644570,-8.0904,17.3,5.00
1645291,-7.3693,16.3,5.00
1646012,-6.4678,17.3,4.99
1646733,-7.4144,17.3,4.99
1647454,-8.0904,17.3,4.99
1648175,-7.6848,17.3,4.99
1648896,-7.6848,18.3,4.99
1649617,-7.6848,18.3,4.99
1650338,-7.6848,17.3,4.98
1651059,-7.6848,17.3,4.98
1651780,-7.6848,17.3,4.98
1652501,-7.6848,17.3,4.98
1653222,-7.6848,17.3,4.98
1653943,-7.6848,17.3,4.97
1654664,-7.6848,17.3,4.97
1655385,-7.6848,17.3,4.97
1656106,-7.6848,17.3,4.97
1656827,-7.6848,17.3,4.97
1657548,-7.6848,18.3,4.96
1658269,-7.6848,18.3,4.97
1658990,-7.6848,17.3,4.96
1659711,-7.6848,18.3,4.96
1660432,-7.6848,17.3,4.96
1661153,-7.6848,17.3,4.96
1661874,-7.6848,17.3,4.96
1662595,-7.6848,17.3,4.95
1663316,-7.6848,17.3,4.95
1664037,-7.6848,17.3,4.95
1664758,-6.9186,17.3,4.94
1665479,-7.6397,17.3,4.94
1666200,-8.3158,18.3,4.94
1666921,-8.4736,17.3,4.94
1667642,-7.7073,18.3,4.94
1668363,-8.3383,16.3,4.93
1669084,-8.7665,17.3,4.93
1669805,-8.8116,17.3,4.93
1670526,-8.0228,17.3,4.93
1671247,-8.0454,18.3,4.93
1671968,-8.3834,18.3,4.93
1672689,-8.4059,17.3,4.93
1673410,-8.0454,17.3,4.93
1674131,-7.6172,17.3,4.93
1674852,-7.1665,17.3,4.93
1675573,-7.1665,17.3,4.92
1676294,-7.1665,18.3,4.92
1677015,-7.1665,18.3,4.92
# [n=2300] mean=-6.9358 m  sigma=1.0470 m  die=18.3 C  CalVal=-42
1677736,-7.1665,17.3,4.91
1678457,-7.1665,17.3,4.91
1679178,-7.1665,17.3,4.91
1679899,-7.1665,17.3,4.91
1680620,-7.1665,17.3,4.91
1681341,-7.1665,17.3,4.91
1682062,-7.1665,18.3,4.90
1682783,-7.1665,17.3,4.90
1683504,-7.1665,17.3,4.90
1684225,-7.1665,17.3,4.90
1684946,-7.1665,17.3,4.91
1685667,-7.1665,17.3,4.90
1686388,-7.1665,17.3,4.89
1687109,-7.1665,17.3,4.89
1687830,-7.1665,17.3,4.89
1688551,-7.1665,17.3,4.89
1689272,-7.1665,18.3,4.89
1689993,-7.1665,18.3,4.89
1690714,-7.1665,18.3,4.88
1691435,-7.6623,17.3,4.88
1692156,-6.8059,17.3,4.88
1692877,-7.6397,17.3,4.88
1693598,-7.9102,17.3,4.88
1694319,-8.3158,17.3,4.88
1695040,-6.8059,17.3,4.87
1695761,-7.6623,17.3,4.87
1696482,-7.7073,17.3,4.86
1697203,-8.0454,17.3,4.86
1697924,-8.4285,17.3,4.86
1698645,-7.4594,17.3,4.86
1699366,-8.4510,17.3,4.86
1700087,-7.6848,16.3,4.85
1700808,-7.7073,17.3,4.85
1701529,-7.5721,17.3,4.86
1702250,-7.5721,16.3,4.85
1702971,-7.5721,17.3,4.85
1703692,-7.5721,17.3,4.85
1704413,-7.5721,17.3,4.84
1705134,-7.5721,17.3,4.84
1705855,-7.5721,17.3,4.84
1706576,-7.5721,17.3,4.84
1707297,-7.5721,17.3,4.84
1708018,-7.5721,17.3,4.84
1708739,-7.5721,17.3,4.84
1709460,-7.5721,17.3,4.84
1710181,-7.5721,17.3,4.84
1710902,-7.5721,17.3,4.83
1711623,-7.5721,17.3,4.83
1712344,-7.5721,17.3,4.82
1713065,-7.5721,17.3,4.83
1713786,-7.5721,17.3,4.82
1714507,-7.5721,17.3,4.83
1715228,-7.5721,17.3,4.82
1715949,-7.5721,17.3,4.82
1716670,-7.5721,17.3,4.82
1717391,-7.5721,17.3,4.82
1718112,-6.5129,17.3,4.82
1718833,-7.5721,17.3,4.82
1719554,-6.4453,17.3,4.81
1720275,-5.7467,17.3,4.81
1720996,-7.5496,17.3,4.81
1721717,-8.3383,18.3,4.81
1722438,-6.8735,17.3,4.81
1723159,-7.4820,17.3,4.80
1723880,-7.7073,16.3,4.81
1724601,-7.2115,17.3,4.80
1725322,-7.1214,17.3,4.80
1726043,-7.8200,16.3,4.80
1726764,-7.7749,17.3,4.80
1727485,-7.8651,17.3,4.80
1728206,-7.4144,17.3,4.80
1728927,-7.4144,17.3,4.79
1729648,-7.4144,17.3,4.79
1730369,-7.4144,17.3,4.79
1731090,-7.4144,17.3,4.78
1731811,-7.4144,17.3,4.78
1732532,-7.4144,16.3,4.78
1733253,-7.4144,17.3,4.78
1733974,-7.4144,17.3,4.78
1734695,-7.4144,17.3,4.78
1735416,-7.4144,16.3,4.78
1736137,-7.4144,17.3,4.77
1736858,-7.4144,17.3,4.78
1737579,-7.4144,17.3,4.77
1738300,-7.4144,17.3,4.77
1739021,-7.4144,17.3,4.77
1739742,-7.4144,17.3,4.76
1740463,-7.4144,16.3,4.76
1741184,-7.4144,17.3,4.76
1741905,-7.4144,17.3,4.76
1742626,-7.4144,16.3,4.76
1743347,-7.4144,16.3,4.75
1744068,-7.4144,15.3,4.76
1744789,-6.5805,16.3,4.75
1745510,-7.0087,16.3,4.76
1746231,-7.5045,16.3,4.75
1746952,-7.7524,17.3,4.75
1747673,-7.0989,17.3,4.75
1748394,-8.3158,17.3,4.75
1749115,-7.4820,17.3,4.75
# [n=2400] mean=-6.9563 m  sigma=1.0327 m  die=17.3 C  CalVal=-42
1749836,-7.0989,17.3,4.74
1750557,-6.8059,17.3,4.74
1751278,-6.8284,17.3,4.75
1751999,-7.0989,17.3,4.74
1752720,-8.1581,17.3,4.74
1753441,-7.4144,17.3,4.74
1754162,-7.0538,17.3,4.73
1754883,-7.7975,17.3,4.73
1755604,-7.7975,17.3,4.73
1756325,-7.7975,17.3,4.73
1757046,-7.7975,17.3,4.73
1757767,-7.7975,17.3,4.73
1758488,-7.7975,17.3,4.73
1759209,-7.7975,17.3,4.72
1759930,-7.7975,17.3,4.72
1760651,-7.7975,17.3,4.71
1761372,-7.7975,17.3,4.71
1762093,-7.7975,17.3,4.72
1762814,-7.7975,17.3,4.71
1763535,-7.7975,17.3,4.71
1764256,-7.7975,17.3,4.71
1764977,-7.7975,17.3,4.71
1765698,-7.7975,17.3,4.71
1766419,-7.7975,17.3,4.71
1767140,-7.7975,17.3,4.70
1767861,-7.7975,17.3,4.71
1768582,-7.7975,17.3,4.70
1769303,-7.7975,17.3,4.70
1770024,-7.7975,17.3,4.70
1770745,-7.7975,17.3,4.70
1771466,-7.4820,17.3,4.70
1772187,-6.7608,17.3,4.70
1772908,-6.9411,17.3,4.69
1773629,-7.8200,17.3,4.70
1774350,-7.6623,17.3,4.69
1775071,-6.6481,17.3,4.70
1775792,-7.2341,17.3,4.69
1776513,-7.0763,17.3,4.69
1777234,-7.6172,17.3,4.69
1777955,-6.8284,17.3,4.69
1778676,-6.6932,16.3,4.68
1779397,-6.7834,17.3,4.68
1780118,-7.7749,17.3,4.68
1780839,-7.3468,16.3,4.68
1781560,-6.5580,17.3,4.68
1782281,-6.5580,17.3,4.68
1783002,-6.5580,16.3,4.68
1783723,-6.5580,17.3,4.67
1784444,-6.5580,17.3,4.67
1785165,-6.5580,17.3,4.67
1785886,-6.5580,17.3,4.67
1786607,-6.5580,17.3,4.66
1787328,-6.5580,17.3,4.67
1788049,-6.5580,17.3,4.66
1788770,-6.5580,17.3,4.67
1789491,-6.5580,16.3,4.66
1790212,-6.5580,17.3,4.66
1790933,-6.5580,17.3,4.66
1791654,-6.5580,16.3,4.65
1792375,-6.5580,17.3,4.65
1793096,-6.5580,17.3,4.65
1793817,-6.5580,17.3,4.65
1794538,-6.5580,17.3,4.65
1795259,-6.5580,16.3,4.64
1795980,-6.5580,16.3,4.65
1796701,-6.5580,17.3,4.64
1797422,-6.5580,17.3,4.64
1798143,-6.7383,16.3,4.64
1798864,-7.1890,17.3,4.64
1799585,-7.1665,17.3,4.63
1800306,-7.8651,17.3,4.63
1801027,-7.3017,17.3,4.64
1801748,-7.2115,17.3,4.64
1802469,-6.6932,17.3,4.63
1803190,-6.6481,17.3,4.63
1803911,-7.3468,17.3,4.63
1804632,-7.8876,17.3,4.62
1805353,-7.3017,17.3,4.62
1806074,-7.0312,17.3,4.62
1806795,-7.4144,17.3,4.62
1807516,-6.9862,17.3,4.62
1808237,-6.9411,17.3,4.62
1808958,-6.9411,17.3,4.62
1809679,-6.9411,17.3,4.61
1810400,-6.9411,17.3,4.61
1811121,-6.9411,17.3,4.62
1811842,-6.9411,17.3,4.61
1812563,-6.9411,17.3,4.61
1813284,-6.9411,16.3,4.61
1814005,-6.9411,17.3,4.61
1814726,-6.9411,16.3,4.61
1815447,-6.9411,17.3,4.60
1816168,-6.9411,17.3,4.60
1816889,-6.9411,16.3,4.60
1817610,-6.9411,15.3,4.60
1818331,-6.9411,16.3,4.60
1819052,-6.9411,16.3,4.60
1819773,-6.9411,17.3,4.60
1820494,-6.9411,17.3,4.59
1821215,-6.9411,16.3,4.59
# [n=2500] mean=-6.9637 m  sigma=1.0172 m  die=16.3 C  CalVal=-42
1821936,-6.9411,16.3,4.59
1822657,-6.9411,17.3,4.59
1823378,-6.9411,17.3,4.59
1824099,-6.9411,17.3,4.59
1824820,-8.0679,17.3,4.59
1825541,-6.3777,17.3,4.59
1826262,-7.0763,17.3,4.59
1826983,-5.6565,17.3,4.59
1827704,-7.1214,17.3,4.58
1828425,-7.6172,17.3,4.58
1829146,-6.8284,17.3,4.57
1829867,-7.4144,17.3,4.58
1830588,-6.9186,17.3,4.57
1831309,-6.8284,17.3,4.57
1832030,-7.3017,17.3,4.57
1832751,-7.4369,17.3,4.57
1833472,-7.4594,17.3,4.57
1834193,-7.7749,17.3,4.57
1834914,-7.1214,17.3,4.57
1835635,-7.1214,17.3,4.57
1836356,-7.1214,17.3,4.56
1837077,-7.1214,17.3,4.57
1837798,-7.1214,17.3,4.56
1838519,-7.1214,17.3,4.56
1839240,-7.1214,17.3,4.56
1839961,-7.1214,17.3,4.56
1840682,-7.1214,17.3,4.55
1841403,-7.1214,17.3,4.56
1842124,-7.1214,17.3,4.55
1842845,-7.1214,17.3,4.55
1843566,-7.1214,17.3,4.55
1844287,-7.1214,17.3,4.55
1845008,-7.1214,17.3,4.55
1845729,-7.1214,17.3,4.55
1846450,-7.1214,17.3,4.54
1847171,-7.1214,17.3,4.54
1847892,-7.1214,17.3,4.54
1848613,-7.1214,17.3,4.53
1849334,-7.1214,17.3,4.54
1850055,-7.1214,16.3,4.53
1850776,-7.1214,17.3,4.53
1851497,-7.9778,17.3,4.53
1852218,-7.1214,17.3,4.53
1852939,-6.6707,17.3,4.53
1853660,-7.4820,17.3,4.53
1854381,-7.4369,17.3,4.53
1855102,-6.9636,17.3,4.53
1855823,-6.8735,17.3,4.53
1856544,-6.6932,16.3,4.52
1857265,-6.7383,17.3,4.52
1857986,-7.7975,16.3,4.52
1858707,-7.5721,17.3,4.52
1859428,-7.3693,17.3,4.52
1860149,-5.8594,17.3,4.52
1860870,-6.6481,17.3,4.52
1861591,-7.9778,17.3,4.51
1862312,-7.9778,17.3,4.51
1863033,-7.9778,17.3,4.51
1863754,-7.9778,17.3,4.51
1864475,-7.9778,16.3,4.51
1865196,-7.9778,17.3,4.51
1865917,-7.9778,17.3,4.50
1866638,-7.9778,17.3,4.50
1867359,-7.9778,17.3,4.50
1868080,-7.9778,17.3,4.50
1868801,-7.9778,17.3,4.49
1869522,-7.9778,17.3,4.50
1870243,-7.9778,17.3,4.49
1870964,-7.9778,17.3,4.49
1871685,-7.9778,17.3,4.49
1872406,-7.9778,17.3,4.48
1873127,-7.9778,17.3,4.49
1873848,-7.9778,16.3,4.49
1874569,-7.9778,16.3,4.48
1875290,-7.9778,16.3,4.48
1876011,-7.9778,17.3,4.48
1876732,-7.9778,17.3,4.48
1877453,-7.1214,17.3,4.48
1878174,-6.6256,17.3,4.48
1878895,-6.8960,17.3,4.48
1879616,-6.9636,17.3,4.47
1880337,-6.5355,17.3,4.47
1881058,-7.0763,17.3,4.48
1881779,-6.8735,17.3,4.47
1882500,-6.5355,17.3,4.48
1883221,-7.5947,17.3,4.47
1883942,-7.0312,17.3,4.47
1884663,-8.7215,17.3,4.46
1885384,-6.6932,17.3,4.46
1886105,-5.5439,15.3,4.47
1886826,-7.6397,16.3,4.47
1887547,-7.7299,17.3,4.46
1888268,-6.1073,17.3,4.46
1888989,-6.1073,17.3,4.46
1889710,-6.1073,17.3,4.46
1890431,-6.1073,17.3,4.46
1891152,-6.1073,17.3,4.46
1891873,-6.1073,17.3,4.45
1892594,-6.1073,16.3,4.45
1893315,-6.1073,17.3,4.45
# [n=2600] mean=-6.9730 m  sigma=1.0062 m  die=17.3 C  CalVal=-43
1894036,-6.1073,17.3,4.45
1894757,-6.1073,17.3,4.45
1895478,-6.1073,17.3,4.45
1896199,-6.1073,17.3,4.44
1896920,-6.1073,17.3,4.44
1897641,-6.1073,16.3,4.44
1898362,-6.1073,17.3,4.44
1899083,-6.1073,17.3,4.44
1899804,-6.1073,17.3,4.44
1900525,-6.1073,17.3,4.44
1901246,-6.1073,16.3,4.44
1901967,-6.1073,17.3,4.44
1902688,-6.1073,16.3,4.43
1903409,-6.1073,15.3,4.43
1904130,-6.9186,16.3,4.43
1904851,-7.5947,15.3,4.43
1905572,-6.6932,16.3,4.43
1906293,-7.9552,17.3,4.42
1907014,-7.4369,17.3,4.42
1907735,-7.4820,17.3,4.42
1908456,-7.6623,17.3,4.42
1909177,-6.6031,17.3,4.42
1909898,-7.2791,15.3,4.41
1910619,-6.5580,16.3,4.41
1911340,-7.9327,17.3,4.42
1912061,-7.5721,17.3,4.41
1912782,-6.1749,17.3,4.41
1913503,-6.6932,17.3,4.41
1914224,-6.9186,17.3,4.41
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=16.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=16.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=16.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
# outlier -33.3083 die=17.3
1930807,-7.2566,17.3,4.38
1931528,-6.8735,17.3,4.37
1932249,-7.4369,17.3,4.37
1932970,-7.0989,17.3,4.37
1933691,-7.1439,17.3,4.37
1934412,-7.4369,17.3,4.37
1935133,-6.6481,17.3,4.36
1935854,-7.5947,17.3,4.37
1936575,-7.6397,17.3,4.37
1937296,-5.9946,16.3,4.37
1938017,-7.4594,15.3,4.37
1938738,-7.7299,16.3,4.36
1939459,-6.2425,16.3,4.36
1940180,-6.7834,16.3,4.36
1940901,-7.0087,16.3,4.36
1941622,-7.0087,15.3,4.36
1942343,-7.0087,16.3,4.36
1943064,-7.0087,17.3,4.36
1943785,-7.0087,17.3,4.36
1944506,-7.0087,17.3,4.35
1945227,-7.0087,17.3,4.35
1945948,-7.0087,17.3,4.35
1946669,-7.0087,17.3,4.35
1947390,-7.0087,17.3,4.35
1948111,-7.0087,17.3,4.35
1948832,-7.0087,16.3,4.34
1949553,-7.0087,17.3,4.34
1950274,-7.0087,17.3,4.34
1950995,-7.0087,17.3,4.34
1951716,-7.0087,16.3,4.34
1952437,-7.0087,17.3,4.34
1953158,-7.0087,17.3,4.34
1953879,-7.0087,16.3,4.33
1954600,-7.0087,16.3,4.33
1955321,-7.0087,16.3,4.33
1956042,-7.0087,17.3,4.33
1956763,-7.0087,17.3,4.33
1957484,-5.9495,16.3,4.33
1958205,-7.6397,17.3,4.33
1958926,-7.5270,17.3,4.33
1959647,-6.8510,17.3,4.33
1960368,-7.6397,17.3,4.33
1961089,-6.1749,16.3,4.33
1961810,-7.5270,17.3,4.32
1962531,-7.2791,16.3,4.33
1963252,-6.3101,16.3,4.32
1963973,-7.0312,16.3,4.32
1964694,-7.0989,17.3,4.31
1965415,-7.3918,17.3,4.32
1966136,-8.5637,16.3,4.31
1966857,-6.9186,17.3,4.32
1967578,-6.7834,16.3,4.31
1968299,-6.7834,17.3,4.31
1969020,-6.7834,16.3,4.30
1969741,-6.7834,15.3,4.30
1970462,-6.7834,16.3,4.30
1971183,-6.7834,16.3,4.31
1971904,-6.7834,17.3,4.30
1972625,-6.7834,17.3,4.30
1973346,-6.7834,15.3,4.30
1974067,-6.7834,16.3,4.30
1974788,-6.7834,17.3,4.30
1975509,-6.7834,17.3,4.30
1976230,-6.7834,17.3,4.30
1976951,-6.7834,17.3,4.29
1977672,-6.7834,17.3,4.29
1978393,-6.7834,17.3,4.30
1979114,-6.7834,17.3,4.29
1979835,-6.7834,17.3,4.29
1980556,-6.7834,17.3,4.29
1981277,-6.7834,17.3,4.29
# [n=2700] mean=-6.9699 m  sigma=0.9923 m  die=17.3 C  CalVal=-43
1981998,-6.7834,17.3,4.29
1982719,-6.7834,17.3,4.29
1983440,-6.7834,17.3,4.28
1984161,-7.7073,17.3,4.28
1984882,-8.1581,17.3,4.28
1985603,-7.6623,17.3,4.28
1986324,-6.8960,17.3,4.28
1987045,-6.6707,17.3,4.28
1987766,-6.0622,17.3,4.28
1988487,-7.1890,17.3,4.27
1989208,-6.7608,17.3,4.27
1989929,-8.4510,17.3,4.27
1990650,-6.6031,17.3,4.28
1991371,-6.7608,17.3,4.27
1992092,-7.7073,17.3,4.27
1992813,-8.3383,17.3,4.26
1993534,-7.2566,17.3,4.27
1994255,-6.7383,17.3,4.27
1994976,-6.7383,17.3,4.27
1995697,-6.7383,17.3,4.26
1996418,-6.7383,17.3,4.27
1997139,-6.7383,17.3,4.26
1997860,-6.7383,17.3,4.26
1998581,-6.7383,17.3,4.26
1999302,-6.7383,17.3,4.26
2000023,-6.7383,17.3,4.26
2000744,-6.7383,17.3,4.25
2001465,-6.7383,17.3,4.25
2002186,-6.7383,17.3,4.25
2002907,-6.7383,17.3,4.25
2003628,-6.7383,17.3,4.25
2004349,-6.7383,17.3,4.24
2005070,-6.7383,17.3,4.24
2005791,-6.7383,17.3,4.24
2006512,-6.7383,17.3,4.24
2007233,-6.7383,17.3,4.24
2007954,-6.7383,17.3,4.24
2008675,-6.7383,17.3,4.24
2009396,-6.7383,17.3,4.24
2010117,-6.7383,17.3,4.24
2010838,-6.6707,17.3,4.23
2011559,-6.7834,17.3,4.24
2012280,-8.2257,17.3,4.23
2013001,-6.6256,17.3,4.23
2013722,-8.0228,17.3,4.22
2014443,-6.0847,17.3,4.23
2015164,-6.6932,17.3,4.23
2015885,-6.8510,17.3,4.22
2016606,-7.9552,17.3,4.22
2017327,-7.7299,17.3,4.22
2018048,-7.8651,16.3,4.22
2018769,-7.4594,17.3,4.23
2019490,-7.3242,16.3,4.22
2020211,-7.2341,17.3,4.22
2020932,-5.9270,17.3,4.22
2021653,-5.9270,17.3,4.21
2022374,-5.9270,17.3,4.21
2023095,-5.9270,17.3,4.21
2023816,-5.9270,17.3,4.21
2024537,-5.9270,17.3,4.21
2025258,-5.9270,17.3,4.21
2025979,-5.9270,17.3,4.21
2026700,-5.9270,17.3,4.20
2027421,-5.9270,17.3,4.20
2028142,-5.9270,17.3,4.20
2028863,-5.9270,17.3,4.20
2029584,-5.9270,17.3,4.20
2030305,-5.9270,17.3,4.20
2031026,-5.9270,17.3,4.20
2031747,-5.9270,17.3,4.20
2032468,-5.9270,17.3,4.19
2033189,-5.9270,17.3,4.20
2033910,-5.9270,16.3,4.20
2034631,-5.9270,17.3,4.20
2035352,-5.9270,17.3,4.19
2036073,-5.9270,17.3,4.19
2036794,-5.9270,17.3,4.19
2037515,-7.6397,17.3,4.19
2038236,-6.9862,17.3,4.18
2038957,-6.8284,16.3,4.18
2039678,-7.1890,17.3,4.18
2040399,-7.2566,16.3,4.18
2041120,-5.8368,16.3,4.18
2041841,-6.7383,16.3,4.18
2042562,-7.8876,16.3,4.18
2043283,-6.9636,17.3,4.18
2044004,-7.5270,17.3,4.18
2044725,-7.0087,17.3,4.18
2045446,-7.4369,17.3,4.17
2046167,-6.9186,17.3,4.18
2046888,-7.2115,17.3,4.17
2047609,-7.5947,17.3,4.17
2048330,-7.5947,17.3,4.17
2049051,-7.5947,17.3,4.17
2049772,-7.5947,16.3,4.17
2050493,-7.5947,16.3,4.17
2051214,-7.5947,16.3,4.17
2051935,-7.5947,17.3,4.17
2052656,-7.5947,16.3,4.16
2053377,-7.5947,16.3,4.16
# [n=2800] mean=-6.9650 m  sigma=0.9832 m  die=16.3 C  CalVal=-42
2054098,-7.5947,17.3,4.16
2054819,-7.5947,16.3,4.16
